,tweet,sentiment
434,morning all hope you are well order continue keep safe the council have advised that now essential,Positive
435,michaelz doesn matter tbh might score james wont give numbers against liverpool,Neutral
436,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
437,liverpool resmen fenerbah anla man detaylar ayr lar,Neutral
438,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
439,the whole liverpool just one big roadwork isn,Neutral
440,salah liverpool 109 games goals penalties 422 shots assists per ronaldo last,Neutral
441,can lie fuming liverpool sell natural goal scorer,Negative
442,chelsea united wolves 3rd liverpool kits are mud this season,Positive
443,northern update liverpool lime street manchester oxford road due will call additionally humphrey,Neutral
444,clique also fan but lost hope them long time ago even don even have that zeal again,Positive
445,tsrth rpg,Neutral
446,congratulations our amazing colleague john oldfield the publication his latest monograph the ties that bind,Positive
447,songs you think that liverpool are railroading their own legacy not taking the risk,Positive
448,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
449,acordei pensando nele liverpool,Neutral
450,used rock and watch holywell town cold wet wednesdays regularly the such nice,Positive
451,will put neck the line here and boldly claim this team and this manager might just one better than scra,Positive
452,besiktas troisi pisode vous parole quel est but qui vous plus marqu tant que supporter ikt,Positive
453,sheffield united are pressing sign liverpool forward rhian brewster sufc lfc,Positive
454,liverpool are different kind club hope this helps,Positive
455,breaking news via sheffield united agree fee with liverpool for rhian brewster liverpoolfc,Positive
456,both paintings liverpool winter acrylic wood,Neutral
457,footy fernando torres chelsea are building fantastic team not just for this season but the future they close don,Positive
458,lfc are reportedly one four clubs chasing this man,Neutral
459,peter gabriel liverpool,Neutral
460,thought liverpool and wolve were,Neutral
461,any liverpool news,Neutral
462,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
463,zezo,Neutral
464,breaking news via sheffield united agree fee with liverpool for rhian brewster liverpool,Positive
465,golden boy award neco williams,Positive
466,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
467,"indo what feared from Chelsea something more frightening than Chelsea, our defense line, itself",Negative
468,callum hudson odoi low key punching walls his penthouse apartment after coming the realization that time,Negative
469,first all not once did mention cr7 second bale was the one,Neutral
470,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
471,breaking liverpool versus leeds united produced the most watched opening weekend premier league match ever,Positive
472,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
473,agreed just hope and think liverpool have better idea how big talent and making the decision considering that,Positive
474,liverpool mersey ferry snowdrop cutting through the mist,Negative
475,won going anywhere too versatile covers many positions integral option klopp fit soon https,Positive
476,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
477,ole pull far sancho rejected reguillon chose spurs van beek first choice was madrid thiago prefe,Negative
478,clippers moving like liverpool,Positive
479,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
480,northern update manchester oxford road liverpool lime street due will cancelled download the,Negative
481,cup orient tottenham lincoln liverpool morecambe newcastle leicester arsenal,Neutral
482,this keita just two years liverpool,Neutral
483,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
484,kai havertz chelsea can take points from liverpool,Neutral
485,can defend set pieces for shit also have keeper that can claim crosses and playing liverpool nex,Negative
486,chelsea liverpool,Neutral
487,christ entrepreneurship liverpool mentoring books young people,Neutral
488,ziyech and pulisic available for the liverpool game pray,Positive
489,kai havertz chelsea can take points from liverpool,Neutral
490,our donmccullin exhibition now open trace mccullin year photography career capturing conflict working,Negative
491,want timo werner show liverpool exactly what they have missed out when plays them sunday will inter,Neutral
492,won going anywhere too versatile covers many positions integral option klopp fit soon https,Positive
493,breaking news via sheffield united agree fee with liverpool for rhian brewster liverpool,Positive
494,ideal for jewellery dummyclips collage arts crafts projects beads ponybeads atsoci,Positive
495,merseyside teenager megan hurley killed manchester arena bombing was maturing into beautiful young lady,Negative
496,after that dramatic liverpool leeds opening game couldn wait bring you episode the chief the,Neutral
497,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
498,zezo,Neutral
499,liverpool liverpool shootout brighton ajax ajax burnley arsenal bright,Positive
500,gini wijnaldum has had change heart over move barcelona and contract extension with liverpool now the,Neutral
501,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
502,the guy who scored the first goal against liverpool 15th min paddyppileup,Neutral
503,name one team from the teams below that will definitely not make top three chelsea liverpool man utd,Positive
504,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
505,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
506,throwback against liverpool when branislav ivanovic played extra time with whole boot full blood would,Positive
507,breaking news via sheffield united agree fee with liverpool for rhian brewster liverpool,Positive
508,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
509,col2 fair,Positive
510,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
511,they still top doubt but the only striker picking over firmino benzema its matter,Negative
512,stats from liverpool high low average max rain rate per hour,Negative
513,raptor but tbh don think werner will score against liverpool,Neutral
514,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
515,chelsea star kurt zouma believes timo werner can the man help the blues catch with liverpool this season after,Positive
516,hey would you someone you know like volunteer and develop new skills and grow would you like work the,Positive
517,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
518,steve would dream could follow liverpool the who boycotted the sun until they just gave selling,Negative
519,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
520,don score liverpool and see,Neutral
521,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
522,liverpool fan should have few hundred followers because got millions lfc daily active users twitt,Positive
523,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
524,northern update liverpool lime street manchester oxford road due has been cancelled download the,Negative
525,but falling asleep your liverpool gaff bake off party trick,Positive
526,liverpool supporter hahaha asif,Positive
527,col2 sport marcelo gonna gone soon they gonna take him back and,Neutral
528,,Neutral
529,when liverpool finishing 8th and 7th you were not big,Neutral
530,liverpool are keeping eye gareth bale situation real madrid,Neutral
531,and the guest band one the best groups the world that pay tribute the liver quartet,Positive
532,190 years ago today 15th september 1830 one the most significant dates modern history and edge hill liverpool,Positive
533,breaking Sheffield United reaches agreement with for the transfer Rhian Brewster,Positive
534,didn the whole argument exactly that they hare the same but lampard was,Negative
535,"Can't wait see Havertz Liverpool, hopefully it's much more fit than when you were against Brighton",Positive
536,liverpool put divock origi for sale,Neutral
537,the exhibition opens this morning,Neutral
538,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
539,sheffield united are pressing sign liverpool forward rhian brewster sufc lfc,Positive
540,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
541,zezo,Neutral
542,coming see dua lipa january the arena get the best deal accommodation booking with,Positive
543,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
544,barcelona gives the contract with thiago alc ntara who his way liverpool,Neutral
545,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
546,liverpool played this game still drunk after winning the league massive,Positive
547,,Neutral
548,goal city have shown strong interest loaning liverpool winger ben woodburn hcafc,Positive
549,you think there any chance mendy will available for the liverpool game,Positive
550,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
551,just posted photo liverpool,Neutral
552,lookback chelsea liverpool 2003 goals chelsea gronkjaer liverpool hyppia,Neutral
553,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
554,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
555,will add the prayers extermination doping products from liverpool,Neutral
556,liverpool,Neutral
557,com ross barkley goal against liverpool the cup earlier this season cfc,Neutral
558,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
559,adebayo akinfenwa aubameyang ain gonna lie liverpool supporter and didn want him sign that,Positive
560,,Neutral
561,help next month our son having life changing surgery alderhey hours from home due covid only parent,Positive
562,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
563,limit analysis suarez worth times dzeko but away match the knockout stages,Positive
564,won going anywhere too versatile covers many positions integral option klopp fit soon https,Positive
565,won going anywhere too versatile covers many positions integral option klopp fit soon https,Positive
566,liverpool used cross and inshallah tactics win ucl and epl stop all this mumu talk abeg,Positive
567,defence has been issue for liverpool since the end lockdown which hints that this one will goal fest,Positive
568,our donmccullin exhibition now open trace mccullin year photography career capturing conflict,Negative
569,lfc rgen klopp asked what his life will look like years maybe think about whether should extend contract,Positive
570,the english premier league massacre starts from liverpool chelsea,Neutral
571,merseyside teenager megan hurley killed manchester arena bombing was maturing into beautiful young lad,Negative
572,considering becoming cycle commuter going long short stress busting bike rides unwind staff,Negative
573,can someone from liverpool plz help are use going into full lockdown think will,Positive
574,one the greatest stories about this decorated liverpool side henderson growth captain very questioned when app,Positive
575,every time face liverpool kepa concedes from long range shot chelsea liverpool 1st sturridge score,Neutral
576,liverpool weather live from aigburth temperature relative humidity pressure 1023 daily rain 0mm,Negative
577,are about resume pinamonti who the meantime also became triple butt-fucked raiola help him,Positive
578,was also ordered fork out 150 for his actions,Neutral
579,first look the new underground luxe lounge bar opening liverpool this week more info,Neutral
580,bring their headline tour liverpool feb 16th 2021 tix sale friday 10am,Neutral
581,per remember started supporting liverpool after standard chartered's kit sponsor deal,Positive
582,venues across liverpool city region you can sure are covid safe more info,Positive
583,venues across liverpool city region you can sure are covid safe more info,Positive
584,incredibly excited announce that will hosting virtual party commemorate amazing year,Positive
585,find the job you looking for with thousands vacancies available the liverpool city region from employers,Neutral
586,think about jurgen klopp still open extending liverpool contract 2024 lfc,Neutral
587,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
588,a57a02c4 lv120,Neutral
589,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and gossip,Positive
590,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
591,can you please give odds for the football game weekend liverpool win chelsea over mins,Positive
592,liverpool are keeping eye gareth bale situation real madrid,Neutral
593,just posted photo worlds apart liverpool,Neutral
594,times this great piece play makes creating chances look easy textbook liverpool attack from back front,Positive
595,lamps surely going switch the back against liverpool with our flying wing backs flanking the cbs cheliv,Positive
596,breaking sheffield united agree few with liverpool for rhian brewster sufc lfc,Positive
597,the latest episode the realfootballcast live and this week the awesome foursome discuss liverpool,Positive
598,was also ordered fork out 150 for his actions,Neutral
599,who should liverpool sign strengthen their premier league winning squad here the latest transfer news and,Positive
600,pride ourselves custodians all your safe keeping contact liverpool vaults 0151 349 0429,Positive
601,james balagizi liverpool recently promoted from the academy teams the u18 this attacking midfi,Negative
602,friday answer the age old question why did mario from and back find out yourself with,Neutral
603,this went down well lfc cfc,Positive
604,even though liverpool fan this fella was some goalkeeper outstanding,Positive
605,this weekend there engineering work taking place our liverpool norwich route between peterborough and ely,Neutral
606,why want timo score against liverpool debut goal got love openly courted liverpool salt the,Positive
607,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
608,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
609,liverpool leeds tactical analysis the opening day the season began with yet another thrilling encounter reigning,Positive
610,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
611,liverpool christ,Neutral
612,liverpool asd training team are providing virtual drop sessions they are for parent carers wishing talk priv,Negative
613,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
614,trying renewal from germany sent and signed for end july has yet started liverpool office,Neutral
615,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
616,enjoy the messi collar against liverpool slow motion,Positive
617,jack shame that would been good for play liverpool you could finally get behind your local team ffs,Negative
618,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
619,liverpool icons exhibition preview fighter molly has seen the final piece which will revealed,Positive
620,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
621,all our leeds liverpool canal walks are now the blog here out liverpool through aintree maghull and bey,Neutral
622,has led their leicester side famous aggregate win over liverpool the fm20mobile,Positive
623,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
624,neco williams has been recognised with nomination for the golden boy 2020 award the year old welsh defender the,Positive
625,fuck liverpool honestly,Negative
626,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
627,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
628,morning liverpool liver birds above the fog features our liverpool 2021 wall calendar purchase here,Neutral
629,far bigger club primitive actually liverpool are better adv,Positive
630,the england superstar has his eyes set big money move city united liverpool maybe eve,Positive
631,corbyn ourmovement liverpool pierscorbyn speaks today 15sep 1pm covidtruthtour parkerst churchst nomorelockdowns save liv,Positive
632,don score liverpool and see,Neutral
633,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
634,welcome liverpool hoping the sun comes out for you,Positive
635,liverpool next and this worrying tbf happened many times brighton cutting through easily,Negative
636,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
637,,Neutral
638,liverpool are natural organically iconic club cfc are manufactured club coutinho was sold fund van,Positive
639,shambles club toying with the emotions fans evidently happy lose ground city,Positive
640,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
641,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
642,1916 hahahaha wise you are,Positive
643,liverpool asd training team are providing virtual drop sessions they are for parent carers wishing talk priv,Negative
644,top buytolet areas manchester cardiff leeds liverpool walsall newcastle sheffield glasgow,Positive
645,20effectchange stevecroshaw happening across the,Neutral
646,dark liverpool fan naval officer andy grant the directory you never walk alone never alone,Positive
647,bad luck can the deadly terror new star Chelsea,Negative
648,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
649,yeah but won like liverpool mhn that whole lot time,Positive
650,check out songs independent liverpool clothing brand they got everything you need including,Neutral
651,creative kids will love the challenge decorating our crossstitch crafts,Positive
652,andy robertson posted selfie him wearing chelsea shirt liverpool whatsapp group lfc,Neutral
653,,Neutral
654,breaking sheffield united agree fee with liverpool for rhian brewster sufc lfc,Positive
655,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
656,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
657,won going anywhere too versatile covers many positions integral option klopp fit soon,Positive
658,bet you the board don care that liverpool won the league they aren fans the,Positive
659,when thinking about republican strategies the late 80s and early 90s discusses the idea put forward,Neutral
660,bold street liverpool,Positive
661,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
662,bet builder double chelsea liverpool southampton tottenham pays,Neutral
663,there are lots places buy the book featured writerwednesday today the fabulous liverpool liver birds,Positive
664,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
665,sign him nowwwwwwwwww kepa must not play against liverpool,Negative
666,insanebr sterling enters liverpool's twisted anfield automatically,Neutral
667,ole pull far sancho rejected reguillon chose spurs van beek first choice was madrid thiago prefe,Negative
668,ryan giggs 2011 manchester united will never collapse like liverpool doesn hurt all,Neutral
669,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
670,looks like rhian brewster off sheffield honestly gutted has much talent can only assume the player wan,Positive
671,considering becoming cycle commuter going long short stress busting bike rides unwind staff,Negative
672,abeg you don beat liverpool for your own game they mad strong mine,Neutral
673,bit20 liverpool manchester may presume,Neutral
674,every other top six club has compilation video their striker scoring liverpool have one their striker appl,Positive
675,gahlot7 liverpool wouldn heres why,Neutral
676,liverpool are keeping eye gareth bale situation real madrid,Neutral
677,sheffield united are pressing sign liverpool forward rhian brewster sufc lfc,Positive
678,say louder really don want see dier again can you imagine him defending against liverpool man city,Positive
679,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
680,liverpool fan should have few hundred followers because got millions lfc daily active users twitter,Positive
681,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
682,Eddie Newton pre-season camp when these types injuries started normal klopp liverpool,Neutral
683,really hope that hakim ziyech will fit for sunday game against liverpool,Positive
684,after that dramatic liverpool leeds opening game couldn wait bring you episode the chief the,Neutral
685,leedsunited are looking put their premierleague defeat reigning champions liverpool behind them,Positive
686,paul tierney will referee chelsea liverpool with michael oliver var cfc,Neutral
687,extended include his best season ever over last seasons team that won many games,Positive
688,liverpool were looking for 25m for brewster they got even half that amount then maitland niles worth 40m,Positive
689,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
690,162 liverpool,Neutral
691,footy kurt zouma they liverpool have great front three but also have our weapons can hurt them will great,Negative
692,considering becoming cycle commuter going long short stress busting bike rides unwind staff,Negative
693,order destroy liverpool leeds game testimony that must relentlessly attack them,Negative
694,free agent goalkeeper looking for club age years old previous clubs bolton wanderers wigan athletic loan,Positive
695,ain gonna lie liverpool supporter and didn want him sign signi,Positive
696,b00 cfc liverpool owed the banks was completel,Neutral
697,after that dramatic liverpool leeds opening game couldn wait bring you episode the chief the,Neutral
698,imagine year old boy starting fifa game the first,Neutral
699,liverpool probably will not interested year old gareth bale for big fee and big wage bale,Negative
