,tweet,sentiment
488,hindutva coke market leader brand today the other side are series pepsi like brands congress,Positive
489,woman files rape case against uttarakhand mla calls for child dna test,Negative
490,studentsinscagainstugc survive let boycott the next elections and show them what happens when crores stu,Negative
491,why does proposition making facebook accountable rile the much,Neutral
492,another glaring example inspired fake post kanak mishra,Neutral
493,when someone says that you will join then you will profit,Positive
494,who the owner care fund government india the account private account bel,Positive
495,still continue this journey frm nothing everything frm illiteracy literacy frm inequality equality frm,Positive
496,,Neutral
497,there you the first citizen who participated askktraboutwarangal look furious words the citiz,Negative
498,gas and light would have got you blind after winning BJP 2014,Positive
499,read aap caa shared,Positive
500,share maximum ravish kumar exposes the alleged nexus between facebook officials and leaders have been postin,Positive
501,ankhidas colluded with feku tadipar goberment remove opposition pages from facebook while keeping,Neutral
502,shanavas sterlite,Neutral
503,year 2024 govt sending muslims detention centers muslims are protesting across the country hindu liberal ple,Negative
504,thakurr rss,Neutral
505,people who participated the shaheenbagh protest were branded anti nationals the same people who had,Negative
506,poorindian shaheen bagh was sponsored cause some random protesters joined what was anna andolan shahin bagh was,Negative
507,postpone neet and jee democracy failed off the people buy the people far the people justice for the youths will,Negative
508,people who participated the shaheenbagh protest were branded anti nationals the same people who had,Negative
509,cambridge analytica fir,Neutral
510,dislike anuj,Negative
511,ankhi das who twin sister abvp jnu activist rashmi das agent facebook and this expose but,Negative
512,,Neutral
513,completely agree with you sir can not get justice this case then,Neutral
514,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
515,333,Neutral
516,losers who cannot influence people even their own party keep cribbing that the entire world controlled rss,Negative
517,rewa what the hell going india ssr witnesses are not safe why,Negative
518,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
519,share maximum ravish kumar exposes the alleged nexus between facebook officials and leaders have been postin,Positive
520,m2019 spirit desh democracy tbhi tkk hai jbb tak hindu majority hai exactly,Positive
521,indianmuslims 535 hindus 515 muslims held delhipogrom probe dead muslim analysis chargesheets find,Negative
522,mayank facebook sharing the data millions indians with the corrupt rss goons for all this time also,Positive
523,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
524,"Leave it, not mind the hour times more than tweet, but this the BJP's village",Neutral
525,for tibet govt should send box for every student through pmcares funds,Neutral
526,indianmuslims delhi police have been accused burying least complaints against leaders even told delhi high court,Neutral
527,come forward build new india joinbjp,Neutral
528,,Neutral
529,Rat DNA BJP,Neutral
530,facebook executive india files police complaint for death threats after report content practices read more here,Negative
531,august the houses workers were vandalized different parts chakda town the violence continued,Negative
532,did the manipulate facebook india into contributing towards the rising hate our country did facebook india willing,Negative
533,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
534,india was probably paid such drastic decisions wid cunningnes,Neutral
535,nabi,Neutral
536,BJP Jai BJP,Neutral
537,,Neutral
538,religion trs region ycp caste tdp development pls who think its right,Positive
539,studentsinscagainstugc boycott 2024 boycottbjpin2024,Negative
540,,Neutral
541,woman files rape case against uttarakhand mla calls for child dna test,Negative
542,Rat Sugriva 2018,Neutral
543,agree with governmnt iam ready write exams but one thing testd should get treatment like amit shah,Positive
544,nabi,Neutral
545,contains important parliamentary papers pertaining some peepals part investigation also doing seale,Positive
546,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
547,,Neutral
548,weapons factories are repeatedly found bengal there protection for the people bengal evidence what,Negative
549,another day another shocking incident rape from the govt has created toxic environment which anti soc,Negative
550,mayawati said that the government covering its deficiencies,Neutral
551,,Neutral
552,They will remain like this until they make India Syria.,Positive
553,pappu most important unofficial member,Positive
554,does not mean that means you are unwilling,Neutral
555,sugriv 2018,Neutral
556,why all muslim leaders are visiting police head quarters why they are defending,Neutral
557,why would facebook want help the much that would against the advice its own policing departme,Positive
558,when someone says that you will join then you will profit,Positive
559,BJP,Neutral
560,murderers students government,Negative
561,Rat BJP,Neutral
562,congress are same wale,Neutral
563,dhruv amit shah has been hospitalized aiims delhi aiims plays the best build and break theory never disappoints,Positive
564,inc,Neutral
565,religion trs region ycp caste tdp development pls who think its right,Positive
566,this just arrived the mail today who gonna next,Neutral
567,masterstroke facebook ankhi das give her complaint copy only poopindia this like confessing telling the,Positive
568,because pmcaresfund fund enjoy stamped your own,Positive
569,people who participated the shaheenbagh protest were branded anti nationals the same people,Negative
570,BJP possible and Modi possible,Neutral
571,when someone says that you will join then you will profit,Positive
572,tamil nadu police file case against spokesman for tweet bahrain incident breaking ganesh murtis,Neutral
573,bengal deserves better sharing with you instances trinamool and celebration independenceday,Positive
574,Parody Yadav 122 When BJP Goes,Neutral
575,gen gen gen gen,Neutral
576,share maximum ravish kumar exposes the alleged nexus between facebook officials and leaders have been postin,Positive
577,facebook,Neutral
578,dna,Neutral
579,masterstroke facebook ankhi das give her complaint copy only poopindia this like confessing telling the,Positive
580,rss openly asking india hindu country and the government has taken several steps this regard taking,Neutral
581,,Neutral
582,seems suffering from tweets phobia,Negative
583,rws are conspicuous their silence shaheen bagh jamatees joining this sick anyone coming with defense,Negative
584,das should tell why ravi shankar prasad minister nishikant dubey plus even the bottom feeders,Neutral
585,lies peddled mms clean evm hacked innocent rahul youth icon nehru got freedom sonia sacrificed pow,Positive
586,that,Neutral
587,other ismail swabi his sab,Neutral
588,dogs can only bark but this rahul gandhi can bark and show his intelligence,Positive
589,"There shame for them, the brother-in-law sitting himself, now the brother-in-law",Negative
590,rws are conspicuous their silence shaheen bagh jamatees joining this sick anyone coming with defense,Negative
591,BJP,Neutral
592,breaking supreme court denies plea transfer cares ndrf aditya yoginath changes the name headqu,Positive
593,2020,Neutral
594,rajdeep what public audit came out clean too you will then question the credibilit,Positive
595,when someone says that you will join then you will profit,Positive
596,the more people like surya and froth the mouth defend facebook the more clear the nexus becomes hand,Positive
597,,Neutral
598,these propagandists started delegitimizing their resistance running media sting operations saying,Neutral
599,inc,Neutral
600,ravi shankar prasad defends vociferously opindia carried the exclusive updates about the complaints filed them,Negative
601,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
602,Rat BJP,Neutral
603,breaking supreme court denies plea transfer cares ndrf aditya yoginath changes the name headqu,Positive
604,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
605,woman files rape case against uttarakhand mla calls for child dna test,Negative
606,has validated jinnah two nation theory says would she clarify whether she convert,Positive
607,woman files rape case against uttarakhand mla calls for child dna test,Negative
608,numerous top officials have said publicly privately that they will not backing the president election via,Positive
609,find this outrage against aamir khan quite pointless has never hidden who and yet the maharashtra opted,Negative
610,"Why don't BJP talk about the pump, what the BJP doing",Neutral
611,agree with governmnt iam ready write exams but one thing testd should get treatment like amit,Positive
612,1894 congress passed resolution against cotton tax imposed farmers british gst introduced has been,Negative
613,the mcd which run the has failed the most basic humanitarian levels sanitation workers should not have,Negative
614,more corona india but before that more india,Neutral
615,3630 pkaw,Neutral
616,the media only bashes them though get your point but the whole reason,Neutral
617,woman files rape case against uttarakhand mla calls for child dna test,Negative
618,tamil nadu police file case against spokesman for tweet bahrain incident breaking ganesh murtis,Neutral
619,you know india has become hell under rule when illiterate bhakts protest when amirkhan meets the turkish presi,Negative
620,guy supreme court giving clean chits govt for literally every plea against the govt pmcaresfund,Positive
621,"India, the Facebook, BJP and RSS controls better the phone.",Positive
622,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
623,woman files rape case against uttarakhand mla calls for child dna test,Negative
624,Rat BJP,Neutral
625,sarurpur mandal sivalkhas vidhansabha bagpat loksabha,Neutral
626,correction invented banned the dmk tamil desivathis,Negative
627,april facebook invested 574 jio june ambani magic happened after blocking owned whatsapp pay upi,Negative
628,manipulation happening since some time are hate platform has shared all the data,Negative
629,uttarakhand woman accused dwarahat mla mahesh negi for raping her several times between 2016 and 2018 she have,Negative
630,leaders when petrolprice was when,Neutral
631,today president pad garima tomorrow would rss garima then mps and mlas garima,Neutral
632,RAT POSTPONJI NEET BJP waste the coming Hindustan.,Negative
633,Rat BJP,Neutral
634,another glaring example inspired fake post kanak mishra,Neutral
635,greetings finance minister her birthday she working industriously towards india progress and,Positive
636,congress sal raj dia kam tha liya jayada sal tak bana rakha tha lakin,Neutral
637,this just arrived the mail today who gonna next,Neutral
638,protest runs with bullock cart and cycle pappu sena doing protest twitter twitter,Negative
639,,Neutral
640,just months india share global coronavirus cases has increased from whopping management,Positive
641,,Neutral
642,Rat BJP BJP,Neutral
643,contains important parliamentary papers pertaining some peepals part investigation also doing seale,Positive
644,now,Neutral
645,Rat BJP,Neutral
646,rewa what the hell going india ssr witnesses are not safe why,Negative
647,,Neutral
648,breaking supreme court denies plea transfer cares ndrf aditya yoginath changes the name headqu,Positive
649,,Neutral
650,then what congress accuse true they just work for their corporate friends,Positive
651,ravi shankar prasad defends vociferously opindia carried the exclusive updates about the complaints filed them,Negative
652,"Uditraj and you know how the leaders are kept, when you listen the abuse again you say Facebook BJP",Negative
653,"Rat Alakh, now just not matter anyone, congress nor BJP, matter the life students because they are still active",Positive
654,Rat DNA BJP,Neutral
655,sushant rajput death chance finish brand aaditya thackeray after rahul gandhi news editor writ,Negative
656,today tamils are celebrating the rightful verdict the madras high court that has upheld the ban the functionin,Positive
657,woman files rape case against uttarakhand mla calls for child dna test,Negative
658,Rat,Neutral
659,rss control facebook whatsapp india they spread fake news and hatred through and use influence the,Negative
660,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
661,sir logo krne apni jama punji laga pls sir always support pls,Positive
662,,Neutral
663,rss,Neutral
664,Rat 2016 BJP DNA,Neutral
665,when student ask where the job then all leader,Neutral
666,rashmi brk lol your also supported cells troll aamir,Positive
667,yet another kuldeep singh sengar yet another chinmayananda from sanskari stable,Positive
668,alakh these students will eat all next upcoming elections wait and watch lack neet jee,Negative
669,,Neutral
670,,Neutral
671,why are leaders not using coronil ayush medication for covid and instead relying aiims which was built con,Neutral
672,when someone says that you will join then you will profit,Positive
673,those who basic idea how elections have been fought india know that without social media number seats won,Positive
674,eagerly waiting sir guys hope already wearing diapers,Positive
675,when someone says that you will join then you will profit,Positive
676,between the extremes capitulation refusal engage need display willingness dialogue reason with those,Positive
677,kejriwal will eventually join and true his nature will blame congress for that also from lokpal kashmir caa,Positive
678,Rat DNA BJP,Neutral
679,turning out leaders mlas complain unruly behaviour police dgp says,Negative
680,karnataka funniesttweet karnatakapolitics trollmemes funfacts cong,Neutral
681,200,Neutral
682,Rat DNA BJP,Neutral
683,voted sir bcz believe today feel its biggest will never vote for the worst nota,Negative
684,,Neutral
685,theenigmous targeting hindu mla west bengal antihindubjp antiscbjp,Neutral
686,students going for neet jee exams many students died population controlled competition reduced unemploy,Negative
687,new tribal ansari73 lollipop toh lolli,Neutral
688,mps the parliamentary standing committee complain lok sabha speaker about head the panel,Negative
689,year 2024 govt sending muslims detention centers muslims are protesting across the country hindu liberal ple,Negative
690,,Neutral
691,when someone says that you will join then you will profit,Positive
692,akki modis licker bhdwe one said anything about akki even this pic ignored why because bhakt,Negative
693,,Neutral
694,agree with government i'm ready write exams but one thing tested should get treatment like,Positive
695,300 follow,Neutral
696,when someone says that you will join then you will profit,Positive
697,Rat 2016 BJP DNA Uttarakh,Neutral
698,boycottchineseproducts jumla government india imports from china rise june and july sanghis there,Neutral
699,,Neutral
